Fecha,Inflacion Indice de precios al consumidor (INPC) mensual,Inflacion Indice de precios al consumidor (INPC) acumulada en el anio,Inflacion Indice de precios al consumidor (INPC) anual,Inflacion subyacente mensual,Inflacion subyacente acumulada en el año, Inflacion subyacente anual,Inflacion no subyacente mensual,Inflacion no subyacente acumulada en el año, Inflacion no subyacente anual
01/01/1971,16.47058824,-78.89125800,5.11727079,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1971,-51.76470588,-70.14925373,14.71215352,N/E,N/E,N/E,N/E,N/E,N/E
01/03/1971,-55.29411765,-61.83368870,16.63113006,N/E,N/E,N/E,N/E,N/E,N/E
01/04/1971,-40.00000000,-50.74626866,25.15991471,N/E,N/E,N/E,N/E,N/E,N/E
01/05/1971,-75.29411765,-46.05543710,25.15991471,N/E,N/E,N/E,N/E,N/E,N/E
01/06/1971,-47.05882353,-36.24733475,21.74840085,N/E,N/E,N/E,N/E,N/E,N/E
01/07/1971,-109.41176471,-37.95309168,8.95522388,N/E,N/E,N/E,N/E,N/E,N/E
01/08/1971,7.05882353,-17.91044776,18.97654584,N/E,N/E,N/E,N/E,N/E,N/E
01/09/1971,-61.17647059,-10.66098081,20.89552239,N/E,N/E,N/E,N/E,N/E,N/E
01/10/1971,-88.23529412,-8.52878465,22.38805970,N/E,N/E,N/E,N/E,N/E,N/E
01/11/1971,-81.17647059,-4.90405117,13.85927505,N/E,N/E,N/E,N/E,N/E,N/E
01/12/1971,-43.52941176,5.75692964,5.75692964,N/E,N/E,N/E,N/E,N/E,N/E
01/01/1972,-8.33333333,-91.12903226,-11.29032258,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1972,-35.41666667,-84.67741935,-13.50806452,N/E,N/E,N/E,N/E,N/E,N/E
01/03/1972,14.58333333,-73.58870968,-10.08064516,N/E,N/E,N/E,N/E,N/E,N/E
01/04/1972,31.25000000,-60.88709677,-7.66129032,N/E,N/E,N/E,N/E,N/E,N/E
