
Date,Month_inflation,Annual_inflation
01/01/1970,0.76000000,5.20000000
02/01/1970,-0.01000000,4.81000000
03/01/1970,0.29000000,5.01000000
04/01/1970,0.13000000,4.87000000
05/01/1970,0.21000000,5.09000000
06/01/1970,0.61000000,5.35000000
07/01/1970,0.49000000,5.46000000
08/01/1970,0.46000000,5.84000000
09/01/1970,0.24000000,5.11000000
10/01/1970,0.03000000,4.05000000
11/01/1970,0.54000000,4.60000000
12/01/1970,0.85000000,4.69000000
01/01/1971,0.99000000,4.93000000
02/01/1971,0.41000000,5.38000000
03/01/1971,0.38000000,5.47000000
04/01/1971,0.51000000,5.87000000
05/01/1971,0.21000000,5.87000000
06/01/1971,0.45000000,5.71000000
07/01/1971,-0.08000000,5.11000000
08/01/1971,0.91000000,5.58000000
09/01/1971,0.33000000,5.67000000
10/01/1971,0.10000000,5.74000000
11/01/1971,0.16000000,5.34000000
12/01/1971,0.48000000,4.96000000
01/01/1972,0.44000000,4.40000000
02/01/1972,0.31000000,4.29000000
03/01/1972,0.55000000,4.46000000
04/01/1972,0.63000000,4.58000000
05/01/1972,0.20000000,4.57000000
06/01/1972,0.74000000,4.87000000
07/01/1972,0.38000000,5.35000000
08/01/1972,0.66000000,5.08000000
09/01/1972,0.46000000,5.22000000
10/01/1972,0.07000000,5.19000000
11/01/1972,0.65000000,5.70000000
12/01/1972,0.34000000,5.56000000
01/01/1973,1.45000000,6.62000000
02/01/1973,0.83000000,7.16000000
03/01/1973,0.88000000,7.52000000
04/01/1973,1.58000000,8.54000000
05/01/1973,1.06000000,9.47000000
06/01/1973,0.82000000,9.56000000
07/01/1973,2.56000000,11.95000000
08/01/1973,1.60000000,13.00000000
09/01/1973,2.38000000,15.16000000
10/01/1973,1.28000000,16.56000000
11/01/1973,1.23000000,17.23000000
12/01/1973,3.88000000,21.37000000
01/01/1974,3.58000000,23.92000000
02/01/1974,2.26000000,25.68000000
03/01/1974,0.77000000,25.54000000
04/01/1974,1.36000000,25.26000000
05/01/1974,0.79000000,24.92000000
06/01/1974,0.99000000,25.13000000
07/01/1974,1.45000000,23.76000000
08/01/1974,1.06000000,23.09000000
09/01/1974,1.13000000,21.60000000
10/01/1974,1.98000000,22.44000000
11/01/1974,2.78000000,24.31000000
12/01/1974,0.78000000,20.60000000
01/01/1975,1.28000000,17.92000000
02/01/1975,0.55000000,15.95000000
03/01/1975,0.63000000,15.79000000
04/01/1975,0.84000000,15.20000000
05/01/1975,1.34000000,15.83000000
06/01/1975,1.70000000,16.65000000
07/01/1975,0.80000000,15.91000000
08/01/1975,0.87000000,15.69000000
09/01/1975,0.73000000,15.22000000
10/01/1975,0.51000000,13.56000000
11/01/1975,0.70000000,11.27000000
12/01/1975,0.82000000,11.31000000
01/01/1976,1.93000000,12.02000000
02/01/1976,1.87000000,13.49000000
03/01/1976,0.98000000,13.89000000
04/01/1976,0.70000000,13.72000000
05/01/1976,0.70000000,13.01000000
06/01/1976,0.40000000,11.56000000
07/01/1976,0.85000000,11.62000000
08/01/1976,0.96000000,11.72000000
09/01/1976,3.41000000,14.69000000
10/01/1976,5.63000000,20.53000000
11/01/1976,4.52000000,25.10000000
12/01/1976,2.51000000,27.20000000
01/01/1977,3.19000000,28.77000000
02/01/1977,2.21000000,29.19000000
03/01/1977,1.74000000,30.17000000
04/01/1977,1.51000000,31.22000000
05/01/1977,0.88000000,31.45000000
06/01/1977,1.23000000,32.53000000
07/01/1977,1.13000000,32.91000000
08/01/1977,2.05000000,34.35000000
09/01/1977,1.77000000,32.22000000
10/01/1977,0.76000000,26.13000000
11/01/1977,1.09000000,22.00000000
12/01/1977,1.38000000,20.66000000
01/01/1978,2.22000000,19.53000000
02/01/1978,1.44000000,18.63000000
03/01/1978,1.04000000,17.81000000
04/01/1978,1.11000000,17.35000000
05/01/1978,0.98000000,17.46000000
06/01/1978,1.38000000,17.64000000
07/01/1978,1.70000000,18.30000000
08/01/1978,1.00000000,17.07000000
09/01/1978,1.14000000,16.35000000
10/01/1978,1.21000000,16.86000000
11/01/1978,1.03000000,16.79000000
12/01/1978,0.85000000,16.17000000
01/01/1979,3.55000000,17.68000000
02/01/1979,1.44000000,17.68000000
03/01/1979,1.36000000,18.05000000
04/01/1979,0.90000000,17.80000000
05/01/1979,1.31000000,18.18000000
06/01/1979,1.11000000,17.87000000
07/01/1979,1.21000000,17.31000000
08/01/1979,1.51000000,17.91000000
09/01/1979,1.23000000,18.01000000
10/01/1979,1.75000000,18.63000000
11/01/1979,1.29000000,18.93000000
12/01/1979,1.77000000,20.02000000
01/01/1980,4.88000000,21.56000000
02/01/1980,2.31000000,22.60000000
03/01/1980,2.06000000,23.45000000
04/01/1980,1.75000000,24.49000000
05/01/1980,1.63000000,24.89000000
06/01/1980,1.98000000,25.97000000
07/01/1980,2.79000000,27.94000000
08/01/1980,2.07000000,28.64000000
09/01/1980,1.11000000,28.49000000
10/01/1980,1.51000000,28.20000000
11/01/1980,1.73000000,28.77000000
12/01/1980,2.62000000,29.85000000
01/01/1981,3.22000000,27.80000000
02/01/1981,2.46000000,27.98000000
03/01/1981,2.14000000,28.08000000
04/01/1981,2.26000000,28.72000000
05/01/1981,1.51000000,28.57000000
06/01/1981,1.40000000,27.83000000
07/01/1981,1.76000000,26.55000000
08/01/1981,2.06000000,26.54000000
09/01/1981,1.86000000,27.47000000
10/01/1981,2.22000000,28.36000000
11/01/1981,1.92000000,28.60000000
12/01/1981,2.69000000,28.68000000
01/01/1982,4.97000000,30.86000000
02/01/1982,3.93000000,32.74000000
03/01/1982,3.65000000,34.71000000
04/01/1982,5.42000000,38.88000000
05/01/1982,5.62000000,44.50000000
06/01/1982,4.82000000,49.37000000
07/01/1982,5.15000000,54.35000000
08/01/1982,11.22000000,68.21000000
09/01/1982,5.34000000,73.95000000
10/01/1982,5.18000000,79.00000000
11/01/1982,5.06000000,84.49000000
12/01/1982,10.68000000,98.84000000
01/01/1983,10.88000000,110.04000000
02/01/1983,5.37000000,112.95000000
03/01/1983,4.84000000,115.39000000
04/01/1983,6.33000000,117.25000000
05/01/1983,4.34000000,114.61000000
06/01/1983,3.79000000,112.50000000
07/01/1983,4.94000000,112.08000000
08/01/1983,3.88000000,98.08000000
09/01/1983,3.08000000,93.83000000
10/01/1983,3.32000000,90.39000000
11/01/1983,5.87000000,91.87000000
12/01/1983,4.28000000,80.78000000
01/01/1984,6.35000000,73.40000000
02/01/1984,5.28000000,73.25000000
03/01/1984,4.27000000,72.31000000
04/01/1984,4.33000000,69.06000000
05/01/1984,3.32000000,67.41000000
06/01/1984,3.62000000,67.14000000
07/01/1984,3.28000000,64.49000000
08/01/1984,2.84000000,62.84000000
09/01/1984,2.98000000,62.68000000
10/01/1984,3.49000000,62.96000000
11/01/1984,3.43000000,59.20000000
12/01/1984,4.25000000,59.16000000
01/01/1985,7.42000000,60.75000000
02/01/1985,4.15000000,59.04000000
03/01/1985,3.87000000,58.43000000
04/01/1985,3.08000000,56.53000000
05/01/1985,2.37000000,55.10000000
06/01/1985,2.50000000,53.43000000
07/01/1985,3.48000000,53.73000000
08/01/1985,4.37000000,56.02000000
09/01/1985,3.99000000,57.55000000
10/01/1985,3.80000000,58.02000000
11/01/1985,4.61000000,59.82000000
12/01/1985,6.81000000,63.75000000
01/01/1986,8.84000000,65.92000000
02/01/1986,4.45000000,66.38000000
03/01/1986,4.65000000,67.62000000
04/01/1986,5.22000000,71.11000000
05/01/1986,5.56000000,76.44000000
06/01/1986,6.42000000,83.17000000
07/01/1986,4.99000000,85.84000000
08/01/1986,7.97000000,92.25000000
09/01/1986,6.00000000,95.96000000
10/01/1986,5.72000000,99.58000000
11/01/1986,6.76000000,103.67000000
12/01/1986,7.90000000,105.75000000
01/01/1987,8.10000000,104.34000000
02/01/1987,7.22000000,109.76000000
03/01/1987,6.61000000,113.69000000
04/01/1987,8.75000000,120.86000000
05/01/1987,7.54000000,125.00000000
06/01/1987,7.23000000,126.73000000
07/01/1987,8.10000000,133.44000000
08/01/1987,8.17000000,133.88000000
09/01/1987,6.59000000,135.18000000
10/01/1987,8.33000000,141.00000000
11/01/1987,7.93000000,143.65000000
12/01/1987,14.77000000,159.17000000
01/01/1988,15.46000000,176.83000000
02/01/1988,8.34000000,179.73000000
03/01/1988,5.12000000,175.83000000
04/01/1988,3.08000000,161.44000000
05/01/1988,1.93000000,147.82000000
06/01/1988,2.04000000,135.81000000
07/01/1988,1.67000000,121.79000000
08/01/1988,0.92000000,106.92000000
09/01/1988,0.57000000,95.24000000
10/01/1988,0.76000000,81.59000000
11/01/1988,1.34000000,70.50000000
12/01/1988,2.09000000,51.66000000
01/01/1989,2.45000000,34.56000000
02/01/1989,1.36000000,25.89000000
03/01/1989,1.08000000,21.05000000
04/01/1989,1.50000000,19.20000000
05/01/1989,1.38000000,18.54000000
06/01/1989,1.21000000,17.58000000
07/01/1989,1.00000000,16.81000000
08/01/1989,0.95000000,16.85000000
09/01/1989,0.96000000,17.30000000
10/01/1989,1.48000000,18.13000000
11/01/1989,1.40000000,18.21000000
12/01/1989,3.37000000,19.70000000
01/01/1990,4.83000000,22.48000000
02/01/1990,2.26000000,23.57000000
03/01/1990,1.76000000,24.40000000
04/01/1990,1.52000000,24.43000000
05/01/1990,1.75000000,24.89000000
06/01/1990,2.20000000,26.11000000
07/01/1990,1.82000000,27.13000000
08/01/1990,1.70000000,28.08000000
09/01/1990,1.43000000,28.68000000
10/01/1990,1.44000000,28.62000000
11/01/1990,2.66000000,30.21000000
12/01/1990,3.15000000,29.93000000
01/01/1991,2.55000000,27.11000000
02/01/1991,1.75000000,26.46000000
03/01/1991,1.43000000,26.04000000
04/01/1991,1.05000000,25.45000000
05/01/1991,0.98000000,24.51000000
06/01/1991,1.05000000,23.10000000
07/01/1991,0.88000000,21.97000000
08/01/1991,0.70000000,20.76000000
09/01/1991,1.00000000,20.25000000
10/01/1991,1.16000000,19.92000000
